arxiv_id,title,year,authors_first,robot_type,task,model_type,ros_integration,simulator,dataset,hardware,sim2real,latency_ms,compute_resources,code_available,data_available,limitations,gap_category,category,file_path
2009.03317,Rapid Motor Adaptation for Legged Robots (Teacher-Student),2020,Kumar et al.,Quadruped,Adaptive locomotion,RL,Partial,Isaac Gym,Proprietary,ANYmal,Yes,~15,GPU cluster,Yes,No,Requires a teacher in simulation,Online adaptation,Sim2Real_RL,papers/03_Sim2Real_RL/Teacher-Student_Framework_for_Sim-to-Real_Locomotion.pdf
2107.04034,RMA: Rapid Motor Adaptation for Legged Robots,2021,Kumar et al.,Quadruped,Adaptive locomotion,RL,Partial,Isaac Gym,Proprietary,ANYmal,Yes,~10,GPU cluster,Yes,No,Limited to locomotion,Rapid adaptation,Sim2Real_RL,papers/03_Sim2Real_RL/RMA_Rapid_Motor_Adaptation_for_Legged_Robots.pdf
2202.01734,ROS 2: Architecture and Performance,2022,Casals et al.,N/A (middleware),Middleware,Framework,ROS 2 core,N/A,N/A,N/A,N/A,<10 (DDS),Standard CPU,Yes,N/A,No standardized benchmarking,ROS 2 architecture,Robotics_Frameworks,papers/04_Robotics_Frameworks/ROS2_Architecture_and_Performance.pdf
2405.13268,MoveIt 2: Real-Time Motion Planning and Manipulation,2024,MoveIt Team,N/A (framework),Motion planning,Framework,ROS 2 (MoveIt 2),N/A,N/A,Multiple,N/A,~50 (planning),CPU/GPU,Yes,N/A,VLA integration still incipient,Motion planning,Robotics_Frameworks,papers/04_Robotics_Frameworks/MoveIt2_and_Real-Time_Manipulation.pdf
2407.01738,A Survey of Embodied AI: From Sim-to-Real and Beyond,2024,Survey et al.,Multi-robot,Survey,Survey,N/A,Multiple,Multiple,N/A,N/A,N/A,N/A,N/A,N/A,General coverage; no depth on ROS 2,General survey,Surveys_Case_Studies,papers/05_Surveys_Case_Studies/A_Survey_of_Embodied_AI_From_Sim-to-Real.pdf
2411.13548,Vision-Language-Action Models for Robotics: A Survey,2024,Survey et al.,Multi-robot,VLA survey,Survey,N/A,Multiple,Multiple,N/A,N/A,N/A,N/A,N/A,N/A,No ROS integration taxonomy,VLA survey,Surveys_Case_Studies,papers/05_Surveys_Case_Studies/Vision-Language-Action_Models_Survey.pdf
2311.11267,Embodied AI: Recent Advances and Future Directions,2023,Survey et al.,Multi-robot,Survey,Survey,N/A,Multiple,Multiple,N/A,N/A,N/A,N/A,N/A,N/A,Pre-2024; lacks frontier coverage,Introductory survey,Surveys_Case_Studies,papers/05_Surveys_Case_Studies/Embodied_AI_Survey_Recent_Advances.pdf
2309.11489,SayPlan: Grounding Large Language Models using 3D Scene Graphs for Scalable Robot Task Planning,2023,Rana et al.,Mobile robot,Task planning,LLM,Partial,N/A,3D scene graphs,N/A,Partial,N/A,LLM API,No,No,Depends on scene-graph quality,Semantic planning,Surveys_Case_Studies,papers/05_Surveys_Case_Studies/SayPlan_Grounding_LLMs_using_3D_Graphs.pdf
2204.01691,SayCan: Do As I Can Not As I Say: Grounding Language in Robotic Affordances,2022,Ahn et al.,Mobile manipulator,Task planning,LLM,Partial,Custom,Proprietary,Everyday Robots,Yes,N/A,LLM API + RL,No,No,Pre-trained affordances; no open-source,Affordance grounding,ROS2_AI_LLMs,papers/06_ROS2_AI_LLMs/SayCan_Grounding_Language_in_Robotic_Affordances.pdf
2209.07753,Code as Policies: Language Model Programs for Robots,2022,Liang et al.,Robotic arm,Code generation,LLM,ROS examples,N/A,Proprietary,Multiple,Partial,N/A,LLM API,No,No,Generated code requires validation,Code generation,ROS2_AI_LLMs,papers/06_ROS2_AI_LLMs/Code_as_Policies_Language_Model_Programs_for_Robots.pdf
2207.05608,Inner Monologue: Embodied Reasoning through Planning with Language Models,2022,Huang et al.,Mobile manipulator,Reasoning + planning,LLM,Partial,Custom,Proprietary,Everyday Robots,Yes,N/A,LLM API,No,No,Manual feedback loop,Embodied reasoning,ROS2_AI_LLMs,papers/06_ROS2_AI_LLMs/Inner_Monologue_Embodied_Reasoning_with_Language_Models.pdf
2307.05973,VoxPoser: Composable 3D Value Maps for Robotic Manipulation with Language Models,2023,Huang et al.,Robotic arm,Manipulation,LLM+VLM,No,N/A,Proprietary,Franka,Yes,N/A,LLM API,No,No,Requires external VLM; no ROS,Value maps,ROS2_AI_LLMs,papers/06_ROS2_AI_LLMs/VoxPoser_Composable_3D_Value_Maps_with_Language_Models.pdf
2306.17582,ChatGPT for Robotics: Design Principles and Model Abilities,2023,Vemprala et al.,Multi-robot,Design framework,LLM,ROS examples,N/A,Proprietary,Multiple,Partial,N/A,LLM API,No,No,Depends on cloud APIs,Design principles,ROS2_AI_LLMs,papers/06_ROS2_AI_LLMs/ChatGPT_for_Robotics_Design_Principles_and_Model_Abilities.pdf
2305.05706,TidyBot: Personalized Robot Assistance with Large Language Models,2023,Wu et al.,Mobile robot,Service robotics,LLM,Partial,Custom,Proprietary,Fetch robot,Yes,N/A,LLM API,No,No,Specific case; no generalization,Personalized HRI,ROS2_AI_LLMs,papers/06_ROS2_AI_LLMs/TidyBot_Personalized_Robot_Assistance_with_LLMs.pdf
2304.11477,LLM+P: Empowering Large Language Models with Optimal Planning Proficiency,2023,Liu et al.,Multi-robot,Task planning,LLM + PDDL,No,N/A,Benchmarks,N/A,Partial,N/A,LLM API + planner,No,No,Requires translation to PDDL,Optimal planning,ROS2_AI_LLMs,papers/06_ROS2_AI_LLMs/LLM+P_Empowering_LLMs_with_Optimal_Planning.pdf
2608.23320,ROS2SmolVLA: Enabling Small Vision-Language-Action Models for Integration into Industrial-Grade Lightweight ROS 2 Systems,2026,Authors et al.,Industrial arm,Manipulation,VLA,ROS 2 native,N/A,Proprietary,Industrial,Yes,<100,Edge GPU,Yes,Partial,Small model; limited capacity,VLA on ROS 2,Recent_2025_2026,papers/07_Recent_2025_2026/ROS2SmolVLA_Small_VLA_for_ROS2_Industrial_2026.pdf
2604.01179,A ROS 2 Wrapper for Florence-2: Multi-Mode Local Vision-Language Inference for Robotic Systems,2026,Authors et al.,Multi-robot,VLM inference,VLM,ROS 2 native,N/A,N/A,Multiple,N/A,<50,Local GPU,Yes,N/A,Specific model (Florence-2),Local VLM ROS 2,Recent_2025_2026,papers/07_Recent_2025_2026/ROS2_Wrapper_Florence-2_Local_VLM_2026.pdf
2606.06061,A Conversational Framework for Human-Robot Collaborative Manipulation with Distributed Generative AI,2026,Authors et al.,Collaborative arm,HRI manipulation,GenAI,ROS 2,N/A,Proprietary,Collaborative robot,Yes,N/A,Distributed AI,No,No,Depends on connectivity,Collaborative HRI,Recent_2025_2026,papers/07_Recent_2025_2026/Conversational_Framework_HRI_Manipulation_GenAI_2026.pdf
2506.09581,Integrating Quantized LLMs into Robotics Systems as Edge AI,2025,Authors et al.,Multi-robot,Edge inference,LLM (quantized),ROS integration,N/A,N/A,Embedded,Yes,<200,Edge device,Yes,No,Quantization loses accuracy,Edge AI LLM,Recent_2025_2026,papers/07_Recent_2025_2026/Quantized_LLMs_Edge_AI_Robotics_2025.pdf
2606.09416,Harness Engineering for Physical AI: Robot Middleware Is the Harness Layer,2026,Authors et al.,Multi-robot,Middleware design,Framework,ROS 2 focus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Conceptual positioning,Middleware harness,Recent_2025_2026,papers/07_Recent_2025_2026/Harness_Engineering_Physical_AI_Middleware_2026.pdf
2607.27205,TurboVLA: Real-Time Vision-Language-Action Model at 32 Hz on an RTX 4090 with <1 GB VRAM,2026,Authors et al.,Manipulator,Real-time manipulation,VLA,Partial,N/A,Proprietary,N/A,Yes,31 (32 Hz),RTX 4090,Yes,No,Requires specific GPU,Real-time VLA,Recent_2025_2026,papers/07_Recent_2025_2026/TurboVLA_Real-Time_VLA_32Hz_2026.pdf
2605.02600,CoRAL: Contact-Rich Adaptive LLM-based Control for Robotic Manipulation,2026,Authors et al.,Manipulator,Contact-rich manipulation,LLM,Partial,N/A,Proprietary,N/A,Yes,N/A,GPU,No,No,Contact-rich remains challenging,Adaptive control,Recent_2025_2026,papers/07_Recent_2025_2026/CoRAL_Contact-Rich_LLM_Control_Manipulation_2026.pdf
2605.02525,A Semantic Autonomy Framework for VLM-Integrated Indoor Mobile Robots,2026,Authors et al.,Mobile robot,Indoor navigation,VLM,ROS 2,N/A,Proprietary,Indoor robot,Yes,N/A,Local GPU,No,No,Indoor environments only,Semantic autonomy,Recent_2025_2026,papers/07_Recent_2025_2026/Semantic_Autonomy_VLM_Indoor_Mobile_Robots_2026.pdf
2508.05294,Towards Embodied Agentic AI: Review and Classification of LLM- and VLM-Driven Robot Autonomy,2025,Survey et al.,Multi-robot,Survey,Survey,N/A,Multiple,Multiple,N/A,N/A,N/A,N/A,N/A,N/A,Survey; no experimentation,Agentic AI survey,Recent_2025_2026,papers/07_Recent_2025_2026/Embodied_Agentic_AI_Survey_LLM_VLM_Robot_2025.pdf
2603.03380,LiteVLA-Edge: Quantized On-Device Multimodal Control for Embedded Robotics,2026,Authors et al.,Embedded robot,On-device control,VLA (quantized),ROS 2,N/A,Proprietary,Embedded,Yes,<100,Edge device,Yes,No,Capacity limited by hardware,Embedded VLA,Recent_2025_2026,papers/07_Recent_2025_2026/LiteVLA-Edge_Quantized_On-Device_Control_2026.pdf
